experiment_name,start_time,backend,batch_size,centers_size_gb,components_size_gb,cuml_accel_active,cuml_accel_error,cuml_accel_install_called,dataset,device,effective_batch_size,explained_variance_pct,inertia,inp,input_dims,input_dims_to_kmeans,input_n_components,input_n_components_to_umap,input_size_gb,k,kmeans_minutes,kmeans_purity,kmeans_seconds,labels_size_gb,layer_num,max_iter,mem_input_gb,mem_output_gb,mem_total_gb,memory_estimate_input_size_gb,memory_estimate_output_size_gb,memory_estimate_total_gb,metric,min_dist,n_components,n_features,n_neighbors,n_samples,nmi,original_pca_n_components_before_slice,out,out_dir,output_size_gb,pc1_pc2_cum_variance_pct,pc1_variance_pct,pc2_variance_pct,pca2d_seconds,pca_components_size_gb,pca_explained_variance_pct,pca_input_size_gb,pca_output_size_gb,pca_path,pca_seconds,pca_total_gpu_gb,precision,purity,random_state,reduction_type,save_every,silhouette_2d,silhouette_2d_euclidean,skipped_n_components,source_path,split,total_gb,total_gpu_gb,umap_duration_seconds,umap_metric,umap_minutes,umap_n_neighbors,umap_seconds,umap_source_reduction_type,zca_components_size_gb,zca_explained_variance_pct,zca_input_size_gb,zca_output_size_gb,zca_seconds,zca_total_gpu_gb
kmeans_on_umap_from_sliced_s15,2025-06-05 02:22:48.599,gpu,,2.2351741790771484e-08,,,,,,,,,1605284.75,,,2,,35,0.004098951816558838,3,0.0032051672334394727,,0.19231003400636837,0.002049475908279419,10,300,,,,,,,,,,,,,0.0006356975333277903,50,,,,,,,,,,,,,,,,0.3477111780017159,42,umap,,,,15,,,0.006148450076580048,,,euclidean,,15,,zca,,,,,,
umap_on_sliced_s15,2025-06-05 02:22:17.323,,,,,,,,snli,,,,,,35,,35,,,,,,,,10,,,,,,,,euclidean,0.1,,,15,,,50,,data/snli/experiments_on_sliced_pca/umap_on_sliced_skip15/layer_10,,,,,,,,,,data/snli/experiments_on_sliced_pca/sliced_pca_files/layer_10/zca_snli_50_layer10_first_15_skipped.parquet,,,,,,zca,,,,15,,,,,,,,,11.661998398980359,,,,,,,
kmeans_on_umap_from_sliced_s15,2025-06-05 02:21:35.926,gpu,,2.2351741790771484e-08,,,,,,,,,1120364.625,,,2,,35,0.004098951816558838,3,0.003394212166313082,,0.20365272997878492,0.002049475908279419,9,300,,,,,,,,,,,,,0.0017428591920863948,50,,,,,,,,,,,,,,,,0.3516228242376652,42,umap,,,,15,,,0.006148450076580048,,,euclidean,,100,,zca,,,,,,
umap_on_sliced_s15,2025-06-05 02:20:59.182,,,,,,,,snli,,,,,,35,,35,,,,,,,,9,,,,,,,,euclidean,0.1,,,100,,,50,,data/snli/experiments_on_sliced_pca/umap_on_sliced_skip15/layer_9,,,,,,,,,,data/snli/experiments_on_sliced_pca/sliced_pca_files/layer_9/zca_snli_50_layer9_first_15_skipped.parquet,,,,,,zca,,,,15,,,,,,,,,17.170363918994553,,,,,,,
kmeans_on_umap_from_sliced_s15,2025-06-05 02:20:23.216,gpu,,2.2351741790771484e-08,,,,,,,,,3091821.5,,,2,,35,0.004098951816558838,3,0.0030294357168410596,,0.18176614301046357,0.002049475908279419,9,300,,,,,,,,,,,,,0.0028035129474583446,50,,,,,,,,,,,,,,,,0.35919345926216756,42,umap,,,,15,,,0.006148450076580048,,,euclidean,,15,,zca,,,,,,
umap_on_sliced_s15,2025-06-05 02:19:54.367,,,,,,,,snli,,,,,,35,,35,,,,,,,,9,,,,,,,,euclidean,0.1,,,15,,,50,,data/snli/experiments_on_sliced_pca/umap_on_sliced_skip15/layer_9,,,,,,,,,,data/snli/experiments_on_sliced_pca/sliced_pca_files/layer_9/zca_snli_50_layer9_first_15_skipped.parquet,,,,,,zca,,,,15,,,,,,,,,9.45455442299135,,,,,,,
kmeans_on_umap_from_sliced_s15,2025-06-05 02:19:12.491,gpu,,2.2351741790771484e-08,,,,,,,,,1060418.625,,,2,,35,0.004098951816558838,3,0.0055060517663757,,0.33036310598254204,0.002049475908279419,9,300,,,,,,,,,,,,,0.0048835166680941495,50,,,,,,,,,,,,,,,,0.37302418240777097,42,umap,,,,15,,,0.006148450076580048,,,manhattan,,100,,pca,,,,,,
umap_on_sliced_s15,2025-06-05 02:18:36.731,,,,,,,,snli,,,,,,35,,35,,,,,,,,9,,,,,,,,manhattan,0.1,,,100,,,50,,data/snli/experiments_on_sliced_pca/umap_on_sliced_skip15/layer_9,,,,,,,,,,data/snli/experiments_on_sliced_pca/sliced_pca_files/layer_9/pca_snli_50_layer9_first_15_skipped.parquet,,,,,,pca,,,,15,,,,,,,,,16.462794500985183,,,,,,,
kmeans_on_umap_from_sliced_s15,2025-06-05 02:18:00.575,gpu,,2.2351741790771484e-08,,,,,,,,,1058189.75,,,2,,35,0.004098951816558838,3,0.00302492399981323,,0.1814954399887938,0.002049475908279419,9,300,,,,,,,,,,,,,0.004242571218792241,50,,,,,,,,,,,,,,,,0.36771837601244745,42,umap,,,,15,,,0.006148450076580048,,,euclidean,,100,,pca,,,,,,
umap_on_sliced_s15,2025-06-05 02:17:23.830,,,,,,,,snli,,,,,,35,,35,,,,,,,,9,,,,,,,,euclidean,0.1,,,100,,,50,,data/snli/experiments_on_sliced_pca/umap_on_sliced_skip15/layer_9,,,,,,,,,,data/snli/experiments_on_sliced_pca/sliced_pca_files/layer_9/pca_snli_50_layer9_first_15_skipped.parquet,,,,,,pca,,,,15,,,,,,,,,17.244612145994324,,,,,,,
